name,type,content,ttl,proxied,priority
@,A,168.231.86.89,1,true,
www,CNAME,slyfox.co.za,1,true,
@,MX,mx1.rdsa-mail.com,1,false,10
@,MX,mx2.rdsa-mail.com,1,false,20
@,MX,mx3.rdsa-mail.com,1,false,30
mail,A,156.38.144.210,1,false,
pop,A,156.38.144.210,1,false,
imap,A,156.38.144.210,1,false,
smtp,A,156.38.144.210,1,false,
cpanel,A,156.38.144.210,1,false,
webmail,A,156.38.144.210,1,false,
whm,A,156.38.144.210,1,false,
webdisk,A,156.38.144.210,1,false,
ftp,A,156.38.144.210,1,false,
cpcontacts,A,156.38.144.210,1,false,
cpcalendars,A,156.38.144.210,1,false,
mobilehairstylist,A,156.38.144.210,1,false,
www.mobilehairstylist,A,156.38.144.210,1,false,
origindjschool,A,156.38.144.210,1,false,
www.origindjschool,A,156.38.144.210,1,false,
globalcannabis,A,156.38.144.210,1,false,
www.globalcannabis,A,156.38.144.210,1,false,
naturalelixir,A,156.38.144.210,1,false,
www.naturalelixir,A,156.38.144.210,1,false,
ranjis,A,156.38.144.210,1,false,
www.ranjis,A,156.38.144.210,1,false,
netfox.co.za,A,156.38.144.210,1,false,
www.netfox.co.za,A,156.38.144.210,1,false,
cpanel.netfox.co.za,A,156.38.144.210,1,false,
webmail.netfox.co.za,A,156.38.144.210,1,false,
webdisk.netfox.co.za,A,156.38.144.210,1,false,
whm.netfox.co.za,A,156.38.144.210,1,false,
cpcontacts.netfox.co.za,A,156.38.144.210,1,false,
cpcalendars.netfox.co.za,A,156.38.144.210,1,false,
theorigin.co.za,A,156.38.144.210,1,false,
www.theorigin.co.za,A,156.38.144.210,1,false,
cpanel.theorigin.co.za,A,156.38.144.210,1,false,
webmail.theorigin.co.za,A,156.38.144.210,1,false,
webdisk.theorigin.co.za,A,156.38.144.210,1,false,
whm.theorigin.co.za,A,156.38.144.210,1,false,
cpcontacts.theorigin.co.za,A,156.38.144.210,1,false,
cpcalendars.theorigin.co.za,A,156.38.144.210,1,false,
vulpin.co.za,A,156.38.144.210,1,false,
www.vulpin.co.za,A,156.38.144.210,1,false,
cpanel.vulpin.co.za,A,156.38.144.210,1,false,
webmail.vulpin.co.za,A,156.38.144.210,1,false,
webdisk.vulpin.co.za,A,156.38.144.210,1,false,
whm.vulpin.co.za,A,156.38.144.210,1,false,
cpcontacts.vulpin.co.za,A,156.38.144.210,1,false,
cpcalendars.vulpin.co.za,A,156.38.144.210,1,false,
