; Zone file for slyfox.co.za
; Proxied records (website only)
slyfox.co.za. 300 IN A 168.231.86.89
www.slyfox.co.za. 300 IN CNAME slyfox.co.za.

; MX Records (email routing)
slyfox.co.za. 3600 IN MX 10 mx1.rdsa-mail.com.
slyfox.co.za. 3600 IN MX 20 mx2.rdsa-mail.com.
slyfox.co.za. 3600 IN MX 30 mx3.rdsa-mail.com.

; Email subdomains
mail.slyfox.co.za. 3600 IN A 156.38.144.210
pop.slyfox.co.za. 3600 IN A 156.38.144.210
imap.slyfox.co.za. 3600 IN A 156.38.144.210
smtp.slyfox.co.za. 3600 IN A 156.38.144.210

; Hosting tools
cpanel.slyfox.co.za. 3600 IN A 156.38.144.210
webmail.slyfox.co.za. 3600 IN A 156.38.144.210
whm.slyfox.co.za. 3600 IN A 156.38.144.210
webdisk.slyfox.co.za. 3600 IN A 156.38.144.210
ftp.slyfox.co.za. 3600 IN A 156.38.144.210
cpcontacts.slyfox.co.za. 3600 IN A 156.38.144.210
cpcalendars.slyfox.co.za. 3600 IN A 156.38.144.210

; Client subdomain - mobilehairstylist
mobilehairstylist.slyfox.co.za. 3600 IN A 156.38.144.210
www.mobilehairstylist.slyfox.co.za. 3600 IN A 156.38.144.210

; Client subdomain - origindjschool
origindjschool.slyfox.co.za. 3600 IN A 156.38.144.210
www.origindjschool.slyfox.co.za. 3600 IN A 156.38.144.210

; Client subdomain - globalcannabis
globalcannabis.slyfox.co.za. 3600 IN A 156.38.144.210
www.globalcannabis.slyfox.co.za. 3600 IN A 156.38.144.210

; Client subdomain - naturalelixir
naturalelixir.slyfox.co.za. 3600 IN A 156.38.144.210
www.naturalelixir.slyfox.co.za. 3600 IN A 156.38.144.210

; Client subdomain - ranjis
ranjis.slyfox.co.za. 3600 IN A 156.38.144.210
www.ranjis.slyfox.co.za. 3600 IN A 156.38.144.210

; Nested subdomain - netfox.co.za
netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
www.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpanel.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webmail.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webdisk.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
whm.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcontacts.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcalendars.netfox.co.za.slyfox.co.za. 3600 IN A 156.38.144.210

; Nested subdomain - theorigin.co.za
theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
www.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpanel.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webmail.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webdisk.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
whm.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcontacts.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcalendars.theorigin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210

; Nested subdomain - vulpin.co.za
vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
www.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpanel.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webmail.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webdisk.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
whm.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcontacts.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcalendars.vulpin.co.za.slyfox.co.za. 3600 IN A 156.38.144.210

; Nested subdomain - petgadgets.co.za
petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
www.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpanel.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webmail.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webdisk.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
whm.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcontacts.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcalendars.petgadgets.co.za.slyfox.co.za. 3600 IN A 156.38.144.210

; Nested subdomain - jellispan.co.za
jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
www.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpanel.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webmail.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
webdisk.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
whm.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcontacts.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210
cpcalendars.jellispan.co.za.slyfox.co.za. 3600 IN A 156.38.144.210

; TXT Records - Root domain
slyfox.co.za. 300 IN TXT "v=spf1 +ip4:156.38.144.210 +include:_spf.mail.hostinger.com ~all"
slyfox.co.za. 300 IN TXT "google-site-verification=OfB9rdryfDMxb5mMJoqZs342WMH0JhWrFYWV0-cOzCA"
slyfox.co.za. 300 IN TXT "google-site-verification=MCNTnf825rUn3oeVIAWDArjnt_HAEbXtT1SU9aFx-FI"
_dmarc.slyfox.co.za. 3600 IN TXT "v=DMARC1;p=none;sp=none;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400"
